2025-07-24 00:20:37,851 | INFO | study_tracker | ПисьПисб
2025-07-24 00:25:15,533 | INFO | tarolog | ПисьПисб
2025-07-24 00:31:42,721 | ERROR | tarolog | При оплате курса у пользователя произошла ошибка
2025-07-24 00:32:03,653 | ERROR | tarolog | При оплате курса у пользователя произошла ошибка
2025-07-24 00:38:01,515 | ERROR | tarolog | При оплате курса у пользователя произошла ошибка
2025-07-24 00:38:40,017 | ERROR | tarolog | При оплате курса у пользователя произошла ошибка
2025-07-24 00:41:03,639 | ERROR | tarolog | При оплате курса у пользователя произошла ошибка
2025-07-24 00:42:59,077 | ERROR | tarolog | При оплате курса у пользователя произошла ошибка
2025-07-24 00:43:59,762 | ERROR | tarolog | При оплате курса у пользователя произошла ошибка
2025-07-24 00:44:00,305 | ERROR | tarolog | При оплате курса у пользователя произошла ошибка
2025-07-24 00:44:18,599 | ERROR | tarolog | При оплате курса у пользователя произошла ошибка
2025-07-24 00:44:33,568 | ERROR | tarolog | При оплате курса у пользователя произошла ошибка
2025-07-24 00:44:34,067 | ERROR | tarolog | При оплате курса у пользователя произошла ошибка
2025-07-24 00:44:34,180 | INFO | tarolog | Пользователь 1082648849 успешно оплатил продукт КУРС ПО КУНИ. Юзернейм для обращения: betoshii
2025-07-24 00:45:24,258 | ERROR | tarolog | При оплате курса у пользователя произошла ошибка
2025-07-24 00:45:24,977 | INFO | tarolog | Пользователь 1082648849 успешно оплатил продукт КУРС ПО КУНИ. Юзернейм для обращения: betoshii
2025-07-24 00:45:47,858 | ERROR | tarolog | При оплате курса у пользователя произошла ошибка
2025-07-24 00:45:48,269 | INFO | tarolog | Пользователь 1082648849 успешно оплатил продукт КУРС ПО КУНИ. Юзернейм для обращения: betoshii
2025-07-24 00:46:27,884 | INFO | tarolog | Пользователь 1082648849 успешно оплатил продукт КУРС ПО КУНИ. Юзернейм для обращения: betoshii
2025-07-24 00:52:51,195 | INFO | tarolog | Пользователь 1082648849 успешно оплатил продукт КУРС ПО КУНИ. Юзернейм для обращения: betoshii
2025-07-24 12:15:15,019 | INFO | tarolog | Пользователь 1082648849 занес свои данные в БД
2025-07-24 12:16:42,776 | INFO | tarolog | Пользователь 1082648849 занес свои данные в БД
2025-07-24 12:17:08,379 | INFO | tarolog | Пользователь 1082648849 занес свои данные в БД
2025-07-24 12:17:35,428 | INFO | tarolog | Пользователь 1082648849 занес свои данные в БД
2025-07-24 12:18:50,360 | INFO | tarolog | Пользователь 8136591146 занес свои данные в БД
2025-07-24 13:20:21,640 | INFO | tarolog | Пользователь 1082648849 успешно оплатил продукт MINET. Юзернейм для обращения: betoshii
2025-07-24 13:21:23,788 | INFO | tarolog | Пользователь 1082648849 успешно оплатил продукт MINET. Юзернейм для обращения: betoshii
2025-07-24 13:31:11,117 | INFO | tarolog | Пользователь 1082648849 занес свои данные в БД
2025-07-24 13:31:48,255 | INFO | tarolog | Пользователь 1082648849 успешно оплатил продукт KUNI. Юзернейм для обращения: betoshii
2025-07-24 13:34:51,383 | INFO | tarolog | Пользователь 1082648849 занес свои данные в БД
2025-07-24 13:34:51,770 | INFO | tarolog | Пользователь 1082648849 занес свои данные в БД
2025-07-24 13:35:09,278 | INFO | tarolog | Пользователь 1082648849 успешно оплатил продукт KUNI. Юзернейм для обращения: betoshii
2025-07-24 13:35:16,776 | INFO | tarolog | Пользователь 1082648849 успешно оплатил продукт MINET. Юзернейм для обращения: betoshii
2025-07-24 14:54:43,300 | INFO | tarolog | Пользователь 1082648849 занес свои данные в БД
2025-07-24 15:10:15,488 | INFO | tarolog | Пользователь 1082648849 занес свои данные в БД
2025-07-24 15:11:00,232 | INFO | tarolog | Пользователь 1082648849 занес свои данные в БД
2025-07-24 15:32:09,819 | INFO | tarolog | Пользователь 1082648849 занес свои данные в БД
2025-07-24 15:47:28,844 | INFO | tarolog | Пользователь 1082648849 занес свои данные в БД
2025-07-24 16:49:08,538 | INFO | tarolog | Пользователь 1082648849 занес свои данные в БД
2025-07-24 16:51:26,291 | INFO | tarolog | Пользователь 1082648849 успешно оплатил продукт FINKOD. Юзернейм для обращения: betoshii
2025-07-24 16:51:34,125 | INFO | tarolog | Пользователь 1082648849 успешно оплатил продукт MATRIZA. Юзернейм для обращения: betoshii
2025-07-24 16:51:57,224 | INFO | tarolog | Пользователь 1082648849 занес свои данные в БД
2025-07-24 16:53:07,657 | INFO | tarolog | Пользователь 1082648849 занес свои данные в БД
2025-07-24 16:56:26,301 | INFO | tarolog | Пользователь 1082648849 занес свои данные в БД
2025-07-24 16:56:47,283 | INFO | tarolog | Пользователь 1082648849 успешно оплатил продукт MATRIZA. Юзернейм для обращения: betoshii
2025-07-24 16:56:52,526 | INFO | tarolog | Пользователь 1082648849 успешно оплатил продукт FINKOD. Юзернейм для обращения: betoshii
2025-07-24 17:11:00,563 | INFO | tarolog | Пользователь 1082648849 занес свои данные в БД
2025-07-24 17:11:15,637 | INFO | tarolog | Пользователь 1082648849 выбрал курс МАТРИЦА
2025-07-24 17:11:19,418 | INFO | tarolog | Пользователь 1082648849 успешно оплатил продукт MATRIZA. Юзернейм для обращения: betoshii
2025-07-24 17:11:25,564 | INFO | tarolog | Пользователь 1082648849 выбрал курс ФИНКОД
2025-07-24 17:11:29,662 | INFO | tarolog | Пользователь 1082648849 успешно оплатил продукт FINKOD. Юзернейм для обращения: betoshii
2025-07-24 17:11:35,590 | INFO | tarolog | Пользователь 1082648849 занес свои данные в БД
2025-07-24 17:15:00,351 | INFO | tarolog | Пользователь 1082648849 нажал старт
2025-07-24 17:15:16,025 | INFO | tarolog | Пользователь 1082648849 выбрал курс МАТРИЦА
2025-07-24 17:15:19,427 | INFO | tarolog | Пользователь 1082648849 успешно оплатил продукт MATRIZA. Юзернейм для обращения: betoshii
2025-07-24 17:16:39,615 | INFO | tarolog | Пользователь 2037223028 нажал старт
2025-07-25 09:53:12,155 | INFO | tarolog | Пользователь 1082648849 нажал старт
2025-07-25 09:56:29,313 | INFO | tarolog | Пользователь 1082648849 нажал старт
2025-07-25 09:57:45,344 | INFO | tarolog | Пользователь 2037223028 нажал старт
2025-07-25 10:25:27,140 | INFO | tarolog | Пользователь 1082648849 выбрал курс ФИНКОД
2025-07-25 10:25:31,624 | INFO | tarolog | Пользователь 1082648849 выбрал курс МАТРИЦА
2025-07-25 10:25:39,492 | INFO | tarolog | Пользователь 1082648849 успешно оплатил продукт FINKOD. Юзернейм для обращения: betoshii
2025-07-25 10:26:19,984 | INFO | tarolog | Пользователь 1082648849 выбрал курс МАТРИЦА
2025-07-25 10:33:07,477 | INFO | tarolog | Пользователь 1082648849 выбрал курс МАТРИЦА
2025-07-25 10:33:14,513 | INFO | tarolog | Пользователь 1082648849 выбрал курс ФИНКОД
2025-07-25 10:33:45,058 | INFO | tarolog | Пользователь 1082648849 нажал старт
2025-07-25 11:23:49,995 | INFO | tarolog | Пользователь 1082648849 нажал старт
2025-07-25 16:26:54,720 | INFO | tarolog | Пользователь 1179575471 нажал старт
2025-07-25 16:38:34,265 | INFO | tarolog | Пользователь 1307012646 нажал старт
2025-07-25 18:35:49,632 | INFO | tarolog | Пользователь 1082648849 нажал старт
2025-07-25 18:36:18,093 | INFO | tarolog | Пользователь 1082648849 выбрал курс МАТРИЦА
2025-07-25 18:38:35,244 | INFO | tarolog | Пользователь 1082648849 нажал старт
2025-07-25 18:39:32,143 | INFO | tarolog | Пользователь 1082648849 нажал старт
